index,red1,ir1,red2,ir2
472,165102,140543,175339,144349
473,165121,140542,175352,144363
474,165127,140536,175377,144375
475,165125,140528,175411,144388
476,165126,140534,175422,144391
477,165151,140537,175347,144355
478,165152,140520,175084,144257
479,165154,140508,174914,144208
480,165169,140506,174927,144207
481,165118,140497,174916,144203
482,165024,140474,174898,144196
483,164963,140450,175006,144232
484,164976,140446,175060,144242
485,164979,140448,175006,144226
486,164974,140446,175010,144224
487,164993,140443,175076,144247
488,165007,140440,175142,144275
489,164990,140436,175157,144282
490,164992,140445,175170,144279
491,165013,140433,175211,144287
492,165017,140422,175227,144292
493,165024,140419,175259,144300
494,165044,140414,175279,144304
495,165039,140423,175301,144312
496,165036,140413,175327,144326
497,165041,140410,175365,144341
498,165053,140419,175394,144348
499,165046,140410,175413,144360
500,165043,140407,175406,144344
501,165056,140406,175355,144325
502,165065,140389,175123,144236
503,165068,140387,174903,144164
504,165075,140387,174857,144146
505,165004,140382,174855,144136
506,164934,140357,174856,144125
507,164907,140363,174934,144167
508,164911,140357,175012,144192
509,164917,140369,174981,144182
510,164936,140382,174999,144188
511,164947,140381,175047,144210
512,164936,140366,175094,144222
513,164930,140362,175140,144231
514,164948,140369,175168,144243
515,164964,140367,175213,144253
516,164981,140358,175244,144270
517,164988,140356,175245,144267
518,164996,140358,175263,144267
519,164995,140354,175285,144266
520,164992,140354,175302,144281
521,164985,140355,175308,144271
522,164994,140359,175327,144283
523,165010,140362,175341,144281
524,165008,140356,175316,144268
525,165030,140368,175159,144207
526,165044,140361,174914,144111
527,165032,140351,174846,144098
528,164974,140339,174887,144115
529,164871,140320,174900,144117
530,164837,140317,174967,144135
531,164847,140331,175034,144153
532,164763,140196,174946,144000
533,164771,140200,174988,144008
534,164754,140195,175025,144023
535,164757,140199,175053,144023
536,164781,140215,175064,144030
537,164797,140205,175066,144030
538,164808,140205,175079,144036
539,164818,140204,175088,144028
540,164818,140203,175112,144029
541,164820,140203,175129,144039
542,164827,140207,175167,144045
543,164839,140194,175182,144057
544,164846,140206,175166,144044
545,164851,140217,174985,143967
546,164859,140212,174709,143881
547,164886,140211,174659,143867
548,164876,140202,174680,143862
549,164856,140200,174669,143867
550,164735,140177,174729,143884
551,164636,140164,174805,143913
552,164631,140156,174788,143905
553,164639,140175,174779,143894
554,164645,140189,174806,143910
555,164652,140183,174891,143942
556,164677,140175,174929,143957
557,164671,140158,174976,143980
558,164667,140151,175007,143975
559,164693,140140,175037,143989
560,164708,140145,175059,143986
561,164723,140150,175057,143989
562,164738,140145,175068,143981
563,164739,140139,175096,143990
564,164757,140145,175106,143990
565,164750,140129,175157,144013
566,164761,140132,175166,144016
567,164764,140134,175162,144012
568,164775,140137,174979,143937
569,164787,140140,174655,143815
570,164781,140133,174560,143791
571,164785,140119,174563,143790
572,164788,140117,174551,143783
573,164763,140119,174571,143788
574,164664,140091,174703,143833
575,164550,140081,174745,143864
576,164543,140094,174694,143825
577,164569,140101,174724,143840
578,164570,140119,174802,143866
579,164588,140111,174862,143897
580,164632,140125,174896,143910
581,164633,140127,174935,143918
582,164630,140119,174963,143927
583,164649,140101,175000,143932
584,164678,140095,175003,143940
585,164698,140069,175019,143939
586,164703,140050,175045,143946
587,164712,140035,175062,143942
588,164719,140032,175106,143954
589,164727,140045,175131,143961
590,164733,140060,175150,143969
591,164742,140075,175120,143950
592,164742,140074,174873,143858
593,164754,140070,174608,143767
594,164791,140074,174560,143766
595,164804,140070,174577,143766
596,164799,140058,174555,143754
597,164767,140047,174624,143778
598,164640,140011,174739,143820
599,164540,139989,174709,143809
600,164510,139979,174686,143795
601,164509,139971,174731,143823
602,164501,139962,174809,143851
603,164531,139956,174861,143869
604,164560,139953,174885,143864
605,164551,139954,174928,143880
606,164552,139953,174956,143890
607,164582,139949,174964,143899
608,164607,139939,174998,143903
609,164628,139935,175032,143911
610,164636,139943,175050,143918
611,164638,139926,175084,143933
612,164645,139932,175117,143937
613,164629,139920,175144,143955
614,164640,139922,175134,143951
615,164631,139921,175075,143921
616,164640,139936,174845,143824
617,164652,139931,174547,143717
618,164665,139922,174471,143700
619,164681,139925,174499,143695
620,164670,139930,174481,143686
621,164600,139912,174556,143721
622,164520,139895,174674,143766
623,164494,139894,174665,143762
624,164522,139884,174632,143758
625,164532,139903,174703,143771
626,164567,139912,174771,143795
627,164573,139909,174793,143810
628,164559,139906,174827,143806
629,164565,139898,174849,143809
630,164565,139903,174876,143821
631,164593,139894,174904,143826
632,164519,139727,175066,143742
633,164520,139726,174851,143653
634,164537,139733,174686,143599
635,164549,139730,174680,143603
636,164586,139758,174691,143604
637,164636,139793,174746,143612
638,164666,139815,174840,143639
639,164683,139824,174835,143637
640,164630,139829,174780,143621
641,164526,139807,174802,143633
642,164476,139798,174868,143658
643,164491,139808,174923,143666
644,164511,139823,174971,143692
645,164515,139814,175007,143703
646,164560,139823,175034,143723
647,164559,139812,175042,143724
648,164547,139815,175043,143718
649,164553,139803,175065,143714
650,164581,139807,175082,143725
651,164604,139808,175111,143734
652,164612,139817,175121,143736
653,164627,139818,175083,143718
654,164633,139813,174851,143619
655,164637,139825,174654,143563
656,164636,139818,174681,143566
657,164643,139809,174674,143573
658,164660,139828,174698,143569
659,164673,139825,174796,143607
660,164673,139820,174818,143606
661,164675,139822,174771,143594
662,164670,139816,174791,143597
663,164585,139802,174850,143618
664,164456,139775,174915,143639
665,164432,139779,174932,143640
666,164439,139777,174964,143658
667,164447,139783,175006,143669
668,164458,139784,174996,143669
669,164511,139788,175024,143672
670,164508,139791,175020,143674
671,164510,139794,175047,143677
672,164522,139773,175083,143681
673,164542,139775,175116,143695
674,164554,139783,175121,143697
675,164567,139775,175021,143659
676,164592,139785,174730,143548
677,164614,139794,174585,143509
678,164622,139789,174590,143518
679,164634,139785,174573,143506
680,164626,139793,174579,143500
681,164629,139796,174697,143537
682,164655,139800,174727,143542
683,164665,139806,174678,143524
684,164672,139792,174682,143530
685,164666,139808,174741,143543
686,164577,139789,174802,143567
687,164458,139756,174852,143583
688,164415,139762,174848,143580
689,164435,139763,174892,143604
690,164441,139778,174917,143596
691,164447,139778,174931,143606
692,164507,139783,174955,143613
693,164511,139778,174982,143623
694,164511,139785,175003,143634
695,164504,139773,175041,143635
696,164530,139765,175068,143645
697,164568,139776,175049,143634
698,164575,139779,174818,143550
699,164599,139763,174549,143448
700,164608,139776,174462,143426
701,164616,139766,174458,143427
